	Brahui	Balochi	Hazara	Makrani	Sindhi	Pathan	Kalash	Burusho	MbutiPygmy	BiakaPygmy	French	Papuan	Druze	Bedouin	Melanesian	Sardinian	Palestinian	Colombian	Cambodian	Japanese	Han	Orcadian	Surui	Maya	Russian	Mandenka	Yoruba	Yakut	BantuSouthAfrica	Karitiana	Pima	Tujia	Italian	Tuscan	Yi	Miao	Oroqen	Daur	Mongola	Hezhen	Xibo	Mozabite	Han-NChina	Uygur	Dai	Lahu	She	Naxi	Tu	Basque	Adygei	BantuKenya
Brahui	0	0.000851265	0.00559625	0.000846393	0.00106057	0.00159625	0.0075623	0.00258296	0.0528901	0.0433155	0.00448483	0.0360661	0.00385092	0.0043556	0.0313521	0.00637115	0.00358045	0.0299855	0.0164763	0.0201128	0.0199827	0.00511101	0.0482819	0.0248651	0.00423828	0.0316213	0.031921	0.0167222	0.0328268	0.0366257	0.0325225	0.0185414	0.00391461	0.0033535	0.019112	0.0216983	0.0202676	0.0212423	0.0166646	0.0195498	0.0181416	0.00810596	0.0201993	0.00525582	0.0206215	0.0203522	0.0224523	0.0183146	0.017295	0.0055833	0.00355926	0.0280168
Balochi	0.000851265	0	0.00422623	0.000405931	0.000507909	0.000672545	0.00634305	0.00167594	0.0513703	0.0420926	0.00367121	0.0349318	0.00332516	0.00382667	0.0286221	0.00491045	0.00264662	0.0275065	0.0148589	0.0179443	0.0180951	0.00427359	0.0457944	0.0226419	0.00336578	0.0309928	0.0307344	0.0141868	0.0315312	0.0355501	0.0299537	0.0173111	0.00337726	0.00283462	0.0170567	0.0198801	0.0184757	0.0181008	0.0145922	0.0174244	0.0164836	0.00727876	0.0178157	0.00389764	0.0181732	0.0183503	0.0199997	0.0160071	0.0153221	0.0045748	0.00272684	0.0276936
Hazara	0.00559625	0.00422623	0	0.00452681	0.00321238	0.00370599	0.00884041	0.00320607	0.0516238	0.0414313	0.00696812	0.0301303	0.00751393	0.00792918	0.0238794	0.00923673	0.0068571	0.0204341	0.00696002	0.00682808	0.00689795	0.00729716	0.0396317	0.0157233	0.00497066	0.0308878	0.031021	0.00468223	0.0321928	0.0286853	0.0235682	0.00597358	0.00733368	0.00739076	0.00642339	0.0084872	0.00644002	0.00645647	0.00411924	0.0061383	0.00496589	0.0106051	0.00624147	-0.00055405	0.00887433	0.00999193	0.00866836	0.00658117	0.00476619	0.00826629	0.00563532	0.027759
Makrani	0.000846393	0.000405931	0.00452681	0	0.000706974	0.000960071	0.00706038	0.0024388	0.0494677	0.0411727	0.00371362	0.0345483	0.00315985	0.00376148	0.0294707	0.0053025	0.0026313	0.0288547	0.0154255	0.0188284	0.0188554	0.00485013	0.0480689	0.0236903	0.00393483	0.029122	0.0293536	0.0150478	0.0294514	0.0379352	0.032174	0.0181269	0.00337207	0.00340082	0.0177267	0.0201015	0.0191339	0.0197547	0.0151987	0.0180574	0.0175827	0.00756116	0.0186568	0.00478608	0.0189967	0.0190446	0.0209752	0.0170072	0.0157935	0.00526107	0.00301971	0.0262934
Sindhi	0.00106057	0.000507909	0.00321238	0.000706974	0	0.000494256	0.00607925	0.00115802	0.0516997	0.0424274	0.00414138	0.0337169	0.00452837	0.00443779	0.0274602	0.00589727	0.00321778	0.0268649	0.0130272	0.0166896	0.0167886	0.00455446	0.0455768	0.0212118	0.00355163	0.0302505	0.030453	0.0128495	0.0312587	0.0339245	0.0289338	0.0156499	0.00395434	0.00395193	0.0158421	0.0178593	0.0165942	0.0179825	0.0130375	0.0159917	0.0150624	0.00757738	0.0162599	0.00315167	0.0174031	0.0172523	0.0191521	0.0150571	0.013497	0.00553682	0.00302231	0.027331
Pathan	0.00159625	0.000672545	0.00370599	0.000960071	0.000494256	0	0.00616348	0.00146218	0.0518614	0.0429363	0.00322801	0.0326537	0.00335952	0.00381422	0.0281015	0.00493378	0.00266833	0.0276965	0.0136154	0.0172926	0.0171594	0.00402424	0.0455291	0.0218877	0.00281718	0.0315634	0.0317202	0.0136746	0.0317431	0.0342847	0.0295523	0.0157599	0.003343	0.00294621	0.0158638	0.0184933	0.017147	0.0183788	0.0139409	0.0165841	0.0151925	0.00825596	0.0168168	0.00321538	0.0174324	0.0184348	0.0198614	0.0154732	0.0141324	0.00483494	0.00270196	0.0287817
Kalash	0.0075623	0.00634305	0.00884041	0.00706038	0.00607925	0.00616348	0	0.00722238	0.0568592	0.0477367	0.0102772	0.0390489	0.0103447	0.0115472	0.0337743	0.0115472	0.009933	0.0322407	0.0186319	0.022454	0.0219303	0.010343	0.0508424	0.0266977	0.00956987	0.0364234	0.0367876	0.0187537	0.036891	0.041207	0.034031	0.0204161	0.0104448	0.00975382	0.0211889	0.0237048	0.0224576	0.0234947	0.0182435	0.0225147	0.0210612	0.0143779	0.0208367	0.00897998	0.0229356	0.0228905	0.0242493	0.0201827	0.0199846	0.0123375	0.00935445	0.0330741
Burusho	0.00258296	0.00167594	0.00320607	0.0024388	0.00115802	0.00146218	0.00722238	0	0.0525374	0.0434682	0.00537946	0.0334175	0.00543995	0.00578823	0.0273361	0.00744294	0.0048365	0.024972	0.0121349	0.0153856	0.0152556	0.00556645	0.0439774	0.0206008	0.00455415	0.0315474	0.0321519	0.0119335	0.0322136	0.0325061	0.0282854	0.0142728	0.00524806	0.00526393	0.014496	0.0167289	0.0151856	0.0163102	0.0123421	0.0145852	0.0138378	0.00937029	0.0140466	0.0027211	0.0164071	0.016046	0.0172723	0.0136563	0.0120649	0.00667897	0.00397961	0.0280433
MbutiPygmy	0.0528901	0.0513703	0.0516238	0.0494677	0.0516997	0.0518614	0.0568592	0.0525374	0	0.0154467	0.056613	0.070002	0.0545485	0.0502633	0.0647561	0.0575756	0.0508982	0.0694659	0.057824	0.0621733	0.061148	0.0565626	0.0866209	0.0639713	0.0549425	0.0247442	0.0228777	0.0605156	0.0171831	0.0799457	0.0706632	0.0612549	0.056604	0.0556957	0.0592826	0.0633472	0.0608959	0.0619166	0.0598659	0.0623874	0.0610473	0.0440467	0.063687	0.0533642	0.061966	0.0603666	0.0644335	0.0599011	0.0596557	0.057574	0.0562203	0.0185658
BiakaPygmy	0.0433155	0.0420926	0.0414313	0.0411727	0.0424274	0.0429363	0.0477367	0.0434682	0.0154467	0	0.0470881	0.0604872	0.0444261	0.0407074	0.0531162	0.0473799	0.0412578	0.0607388	0.0463439	0.0509847	0.0497536	0.0471715	0.077909	0.0551682	0.04438	0.012656	0.0111641	0.0500145	0.00763379	0.0696409	0.0609052	0.0500807	0.0468879	0.0464984	0.0489031	0.0516986	0.0501463	0.0518849	0.0483035	0.0509873	0.0503507	0.0344699	0.052659	0.0432609	0.0508021	0.0495122	0.052606	0.0492511	0.0491684	0.048049	0.0457495	0.00955619
